ID,DUR_Aulaweb,DUR_Blank,DUR_Deeds,DUR_Diagram,DUR_Other,DUR_Properties,DUR_Study,DUR_TextEditor,KS_Aulaweb,KS_Blank,KS_Deeds,KS_Diagram,KS_Other,KS_Properties,KS_Study,KS_TextEditor,MCL_Aulaweb,MCL_Blank,MCL_Deeds,MCL_Diagram,MCL_Other,MCL_Properties,MCL_Study,MCL_TextEditor,MCR_Aulaweb,MCR_Blank,MCR_Deeds,MCR_Diagram,MCR_Other,MCR_Properties,MCR_Study,MCR_TextEditor,MM_Aulaweb,MM_Blank,MM_Deeds,MM_Diagram,MM_FSM,MM_Other,MM_Properties,MM_Study,MM_TextEditor,MW_Aulaweb,MW_Blank,MW_Deeds,MW_Diagram,MW_Other,MW_Properties,MW_Study,MW_TextEditor,MWC_Study
1,1559.0,143936.0,5160444.0,36737893.0,493968.0,313815.0,6815439.0,142386644.0,0.0,0.0,32.0,12.0,87.0,8.0,0.0,2711.0,34.0,61.0,343.0,1163.0,171.0,232.0,82.0,419.0,0.0,7.0,2.0,8.0,0.0,0.0,0.0,1.0,1286.0,3398.0,25855.0,72540.0,76.0,8664.0,13142.0,9476.0,43501.0,0.0,0.0,11.0,14.0,1.0,355.0,154.0,556.0,0.0
2,13774.0,2420.0,43746388.0,33237390.0,846622.0,866392.0,5251266.0,22490602.0,0.0,0.0,2.0,0.0,22.0,0.0,0.0,2230.0,30.0,61.0,767.0,421.0,208.0,199.0,102.0,338.0,0.0,0.0,24.0,4.0,6.0,0.0,0.0,54.0,1681.0,1953.0,29323.0,18418.0,0.0,9178.0,7621.0,8861.0,25729.0,0.0,0.0,14.0,32.0,8.0,104.0,109.0,567.0,0.0
3,1078.0,30969.0,1352766.0,42096089.0,95831.0,180013.0,8340619.0,40458453.0,0.0,3.0,21.0,54.0,62.0,0.0,0.0,1870.0,22.0,71.0,465.0,1331.0,90.0,854.0,70.0,277.0,0.0,1.0,0.0,198.0,5.0,16.0,0.0,0.0,1211.0,4129.0,25794.0,129650.0,0.0,6510.0,28148.0,22595.0,45736.0,3.0,0.0,0.0,64.0,0.0,191.0,65.0,556.0,0.0
4,377130.0,77151.0,495221.0,31314918.0,400185.0,7832820.0,726143.0,5746476.0,43.0,6.0,20.0,120.0,202.0,1878.0,0.0,1323.0,78.0,73.0,154.0,525.0,332.0,218.0,43.0,260.0,2.0,0.0,0.0,8.0,18.0,0.0,0.0,0.0,2847.0,1697.0,5748.0,22355.0,73.0,6366.0,4385.0,1083.0,6091.0,101.0,0.0,0.0,1.0,3.0,0.0,91.0,1037.0,2.0
5,0.0,46.0,45653836.0,5473403.0,1283862.0,27896.0,0.0,102873150.0,0.0,0.0,16.0,2.0,72.0,0.0,0.0,2351.0,0.0,18.0,401.0,592.0,141.0,216.0,0.0,210.0,0.0,24.0,33.0,21.0,2.0,12.0,0.0,8.0,0.0,1368.0,26946.0,47413.0,0.0,8410.0,12187.0,0.0,33043.0,0.0,0.0,0.0,6.0,0.0,207.0,0.0,276.0,0.0
6,19593936.0,1813164.0,32008.0,12668342.0,428029.0,403069.0,10250847.0,73324763.0,0.0,29.0,0.0,0.0,173.0,0.0,0.0,2407.0,75.0,222.0,141.0,915.0,345.0,329.0,107.0,308.0,0.0,6.0,0.0,10.0,2.0,0.0,0.0,0.0,5592.0,8917.0,8842.0,59952.0,0.0,16022.0,16489.0,15089.0,35138.0,62.0,0.0,3.0,0.0,19.0,313.0,95.0,1309.0,0.0
7,1723090920.0,141.0,6841835.0,41500502.0,8377.0,320132.0,5017406.0,69975313.0,0.0,0.0,23.0,14.0,0.0,0.0,0.0,3233.0,33.0,29.0,310.0,265.0,106.0,122.0,80.0,258.0,0.0,2.0,28.0,6.0,2.0,0.0,0.0,0.0,1958.0,938.0,12663.0,17457.0,0.0,5381.0,2725.0,6389.0,19991.0,0.0,0.0,2.0,27.0,0.0,66.0,45.0,202.0,0.0
8,177608.0,160986.0,3822197.0,8916034.0,25811.0,16212279.0,65731.0,998021.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,547.0,30.0,49.0,481.0,943.0,84.0,336.0,53.0,254.0,0.0,25.0,6.0,0.0,0.0,0.0,0.0,5.0,1823.0,2899.0,20379.0,35900.0,0.0,6244.0,13893.0,4251.0,19985.0,3.0,20.0,25.0,3.0,73.0,273.0,83.0,375.0,0.0
9,78089.0,17014573.0,11954536.0,1468722.0,61100.0,1956158.0,353853.0,94151227.0,0.0,1.0,32.0,0.0,0.0,0.0,0.0,1699.0,37.0,101.0,582.0,393.0,96.0,296.0,105.0,326.0,0.0,0.0,2.0,14.0,2.0,0.0,0.0,2.0,2265.0,3772.0,21874.0,17722.0,0.0,5139.0,9077.0,8745.0,22372.0,4.0,0.0,2.0,53.0,38.0,249.0,136.0,475.0,0.0
10,301065.0,171077.0,9006360.0,24846580.0,581111.0,342228.0,20151400.0,76324288.0,0.0,0.0,1.0,13.0,18.0,16.0,0.0,2364.0,35.0,115.0,1374.0,1890.0,252.0,1320.0,156.0,337.0,0.0,20.0,26.0,14.0,0.0,0.0,2.0,6.0,2666.0,6764.0,49563.0,65331.0,0.0,12338.0,27220.0,12060.0,27040.0,17.0,0.0,64.0,89.0,35.0,155.0,250.0,382.0,0.0
