,session,activity,idle_time,mouse_wheel,mouse_wheel_click,mouse_click_left,mouse_click_right,mouse_movement,keystroke
0,1, Aulaweb,2014350.7702702703,29.33783783783784,0.25675675675675674,62.7027027027027,0.9324324324324325,4576.959459459459,9.337837837837839
1,1, Blank,1110153.9090909092,11.181818181818182,0.0,115.28571428571429,5.857142857142857,6159.1558441558445,10.415584415584416
2,1, Deeds,68868871.46753247,20.51948051948052,0.5194805194805194,1187.3506493506493,117.0,62712.58441558442,190.3896103896104
3,1, Diagram,21156498.441558443,6.51948051948052,0.025974025974025976,464.3636363636364,10.909090909090908,23007.025974025975,21.805194805194805
4,1, FSM,262.5,0.0,0.0,3.5,0.0,155.0,0.0
5,1, Other,4986452.285714285,26.844155844155843,0.1038961038961039,268.85714285714283,12.090909090909092,14478.883116883117,178.80519480519482
6,1, Properties,670123.5324675324,0.05194805194805195,0.0,40.33766233766234,0.22077922077922077,1808.051948051948,37.44155844155844
7,1, Study,6816603.152777778,99.41666666666667,0.6527777777777778,153.90277777777777,2.1944444444444446,13416.597222222223,44.388888888888886
8,1, TextEditor,12064057.025974026,382.54545454545456,0.18181818181818182,398.5844155844156,7.0519480519480515,23177.402597402597,778.5194805194806
9,2, Aulaweb,2324292.946666667,17.546666666666667,1.3466666666666667,53.12,0.4533333333333333,3551.4666666666667,10.746666666666666
10,2, Blank,1913623.1219512196,15.963414634146341,0.0,115.26829268292683,8.939024390243903,5448.207317073171,3.6219512195121952
11,2, Deeds,142262028.4390244,47.52439024390244,0.2682926829268293,1561.3902439024391,192.97560975609755,81551.84146341463,280.4512195121951
12,2, Diagram,1569933.6341463414,1.146341463414634,0.0,148.0121951219512,1.146341463414634,8615.59756097561,6.182926829268292
13,2, FSM,85.5,0.0,0.0,2.0,0.0,91.5,0.0
14,2, Other,3560214.0975609757,61.73170731707317,1.3048780487804879,235.1341463414634,9.402439024390244,13321.439024390244,105.21951219512195
15,2, Properties,10166.207317073171,0.0,0.0,34.81707317073171,0.06097560975609756,1554.7926829268292,3.3780487804878048
16,2, Study,111080391.5974026,245.42857142857142,0.961038961038961,189.9090909090909,0.961038961038961,18561.883116883117,56.064935064935064
17,2, TextEditor,285587503.2804878,1067.7317073170732,0.3170731707317073,960.0365853658536,13.841463414634147,63898.76829268293,3620.951219512195
18,3, Aulaweb,311667.4512195122,9.926829268292684,0.4268292682926829,29.951219512195124,0.21951219512195122,2089.4756097560976,3.097560975609756
